Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2009-06-26,5.0871429443359375,52.79999923706055,23.760000228881836,41.880001068115234,34.560001373291016,9.727499961853027,18.90999984741211,65.94999694824219,23.43000030517578,,146.74000549316406,23.610000610351562,30.288549423217773,101.03250122070312,16.290000915527344,56.599998474121094,34.45000076293945,24.065000534057617,57.0,59.2599983215332,25.76335906982422,23.350000381469727,12.710000038146973,51.75,40.880001068115234,24.770000457763672,15.954999923706055,29.0651798248291,29.799999237060547,48.630001068115234
2009-06-29,5.070356845855713,53.11000061035156,24.0,42.650001525878906,34.7400016784668,9.727499961853027,18.989999771118164,66.87999725341797,23.65999984741211,,149.36000061035156,23.8700008392334,30.679431915283203,101.17591094970703,16.3799991607666,56.959999084472656,34.599998474121094,24.145000457763672,57.22999954223633,59.959999084472656,26.574426651000977,23.860000610351562,12.9375,52.22999954223633,41.0099983215332,25.1200008392334,15.744999885559082,29.412199020385742,29.889999389648438,48.7599983215332
2009-06-30,5.086785793304443,52.939998626708984,23.239999771118164,42.5,33.040000915527344,9.542499542236328,18.649999618530273,66.25,23.329999923706055,,147.44000244140625,23.6299991607666,29.935802459716797,99.82791900634766,16.549999237060547,56.79999923706055,34.11000061035156,23.9950008392334,57.4900016784668,60.099998474121094,26.67938995361328,23.770000457763672,12.944999694824219,51.099998474121094,41.040000915527344,24.979999542236328,15.5649995803833,28.82132911682129,29.399999618530273,48.439998626708984
2009-07-01,5.101070880889893,52.7599983215332,23.0,42.22999954223633,33.189998626708984,9.727499961853027,18.799999237060547,66.5199966430664,23.450000762939453,,147.32000732421875,23.709999084472656,30.374353408813477,100.22944641113281,17.040000915527344,57.06999969482422,33.77000045776367,24.59000015258789,58.220001220703125,60.7400016784668,26.76526641845703,24.040000915527344,13.104999542236328,52.0,41.130001068115234,25.15999984741211,15.199999809265137,28.905738830566406,29.34000015258789,48.369998931884766
2009-07-02,5.00071382522583,51.470001220703125,22.270000457763672,40.83000183105469,31.739999771118164,9.539999961853027,18.5,64.41999816894531,22.84000015258789,,143.49000549316406,22.809999465942383,29.363780975341797,97.25621032714844,16.719999313354492,55.97999954223633,32.27000045776367,24.440000534057617,57.45000076293945,60.25,25.77290153503418,23.3700008392334,12.765000343322754,51.11000061035156,39.20000076293945,23.90999984741211,15.020000457763672,28.305490493774414,28.700000762939453,47.790000915527344
2009-07-06,4.950356960296631,52.04999923706055,23.520000457763672,40.560001373291016,31.700000762939453,9.270000457763672,18.530000686645508,64.13999938964844,23.09000015258789,,146.4600067138672,22.8799991607666,28.906164169311523,97.17973327636719,16.540000915527344,56.619998931884766,32.599998474121094,24.5,57.9900016784668,60.66999816894531,26.612594604492188,23.200000762939453,12.977499961853027,52.16999816894531,39.939998626708984,24.09000015258789,15.167499542236328,28.47430992126465,29.510000228881836,47.72999954223633
2009-07-07,4.835713863372803,52.22999954223633,22.6299991607666,39.040000915527344,30.290000915527344,8.892499923706055,18.239999771118164,62.70000076293945,22.530000686645508,,142.5399932861328,22.399999618530273,27.943260192871094,95.783935546875,16.25,56.22999954223633,32.810001373291016,24.31999969482422,56.79999923706055,58.7599983215332,26.354961395263672,22.530000686645508,12.802499771118164,51.90999984741211,39.040000915527344,25.170000076293945,14.927499771118164,27.799030303955078,28.860000610351562,47.84000015258789
2009-07-08,4.900713920593262,59.5,22.719999313354492,39.54999923706055,30.579999923706055,9.125,18.1299991607666,62.779998779296875,22.239999771118164,,138.5500030517578,22.65999984741211,28.10533332824707,96.25238800048828,15.9399995803833,57.08000183105469,32.709999084472656,24.2549991607666,57.040000915527344,59.02000045776367,26.755725860595703,22.559999465942383,12.8774995803833,52.63999938964844,39.06999969482422,24.670000076293945,14.8725004196167,26.870519638061523,29.760000228881836,48.369998931884766
2009-07-09,4.869999885559082,58.130001068115234,22.799999237060547,39.29999923706055,30.649999618530273,9.204999923706055,18.170000076293945,63.08000183105469,22.530000686645508,,143.2100067138672,22.68000030517578,28.286474227905273,97.5908203125,16.020000457763672,56.689998626708984,33.619998931884766,24.354999542236328,56.77000045776367,59.09000015258789,25.77290153503418,22.440000534057617,12.765000343322754,52.40999984741211,39.04999923706055,24.940000534057617,15.109999656677246,26.861141204833984,29.3799991607666,48.08000183105469
2009-07-10,4.947143077850342,57.810001373291016,23.219999313354492,39.650001525878906,30.530000686645508,9.3149995803833,18.34000015258789,61.400001525878906,22.40999984741211,,141.8699951171875,22.520000457763672,28.62968635559082,96.39579010009766,16.040000915527344,56.93000030517578,32.34000015258789,24.155000686645508,57.04999923706055,59.790000915527344,25.238550186157227,22.389999389648438,12.824999809265137,52.220001220703125,39.0,24.670000076293945,14.96500015258789,26.842382431030273,28.84000015258789,47.56999969482422
